ZONEID,timestamp,Forecasted Total Load,Forecasted Zonal Load,Zonal Price
1,01062011 18:00,21867,6939,83.48
1,01062011 19:00,21491,6783,73.18
1,01062011 20:00,20916,6592,68.44
1,01062011 21:00,19888,6347,62.48
1,01062011 22:00,18414,6020,55.26
1,01062011 23:00,16817,5571,47.08
1,01072011 0:00,16012,5205,45.53
1,01072011 1:00,15268,4925,41.53
1,01072011 2:00,14865,4754,40.54
1,01072011 3:00,14668,4657,37.76
1,01072011 4:00,14799,4644,38.28
1,01072011 5:00,15648,4847,43.66
1,01072011 6:00,17401,5354,55.16
1,01072011 7:00,18862,5912,65.74
1,01072011 8:00,19365,6247,63.41
1,01072011 9:00,19763,6510,66.16
1,01072011 10:00,20015,6652,67.9
1,01072011 11:00,20003,6704,68.52
1,01072011 12:00,19867,6692,66.05
1,01072011 13:00,19725,6665,65.31
1,01072011 14:00,19548,6651,63.9
1,01072011 15:00,19529,6655,61.63
1,01072011 16:00,20064,6763,68.26
1,01072011 17:00,21577,7006,75.45
1,01072011 18:00,21683,6933,72.02
1,01072011 19:00,21169,6744,70.93
1,01072011 20:00,20629,6544,62.23
1,01072011 21:00,19808,6324,53.62
1,01072011 22:00,18595,6060,48.42
1,01072011 23:00,17095,5662,46.12
1,01082011 0:00,16269,5335,49.22
1,01082011 1:00,15568,5099,42.69
1,01082011 2:00,15160,4939,40.33
1,01082011 3:00,14912,4840,39.81
1,01082011 4:00,14783,4759,39.38
1,01082011 5:00,14835,4699,40.31
1,01082011 6:00,15561,4827,45.96
1,01082011 7:00,16593,5117,49.38
1,01082011 8:00,17335,5385,47.13
1,01082011 9:00,17998,5676,65.63
1,01082011 10:00,18365,5870,63.15
1,01082011 11:00,18392,5951,59.4
1,01082011 12:00,18227,5950,57.63
1,01082011 13:00,18008,5917,52.38
1,01082011 14:00,17818,5888,49.78
1,01082011 15:00,17841,5879,49.77
1,01082011 16:00,18493,5990,63
1,01082011 17:00,20291,6349,89.04
1,01082011 18:00,20763,6470,84
1,01082011 19:00,20495,6428,79.28
1,01082011 20:00,20140,6336,74.24
1,01082011 21:00,19531,6220,63.73
1,01082011 22:00,18569,6050,52.65
1,01082011 23:00,17338,5762,49.85
1,01092011 0:00,16208,5394,55.39
1,01092011 1:00,15502,5129,48.37
1,01092011 2:00,15055,4943,44.9
1,01092011 3:00,14784,4830,42.47
1,01092011 4:00,14610,4742,42.13
1,01092011 5:00,14499,4641,42.59
1,01092011 6:00,14973,4693,48.74
1,01092011 7:00,15815,4911,48.76
1,01092011 8:00,16453,5125,48.45
1,01092011 9:00,17144,5404,52.87
1,01092011 10:00,17647,5619,53.32
1,01092011 11:00,17871,5735,54.53
1,01092011 12:00,17882,5782,53.07
1,01092011 13:00,17800,5789,49.43
1,01092011 14:00,17722,5796,48.26
1,01092011 15:00,17861,5821,49.81
1,01092011 16:00,18604,5959,57.71
1,01092011 17:00,20360,6343,81.79
1,01092011 18:00,20880,6482,79.82
1,01092011 19:00,20772,6493,78.74
1,01092011 20:00,20450,6451,71.26
1,01092011 21:00,19727,6331,62.37
1,01092011 22:00,18629,6101,51.7
1,01092011 23:00,17344,5758,51.69
1,01102011 0:00,16386,5406,51.33
1,01102011 1:00,15600,5099,45.21
1,01102011 2:00,15167,4907,42.73
1,01102011 3:00,15011,4819,42.01
1,01102011 4:00,15228,4835,43.27
1,01102011 5:00,16118,5040,48.99
1,01102011 6:00,17964,5578,60
1,01102011 7:00,19530,6182,68.86
1,01102011 8:00,20033,6550,70.91
1,01102011 9:00,20466,6822,76.3
1,01102011 10:00,20753,6958,75.42
1,01102011 11:00,20803,7007,72.19
1,01102011 12:00,20756,7022,69.65
1,01102011 13:00,20675,7011,69.61
1,01102011 14:00,20539,7007,66.08
1,01102011 15:00,20582,7028,68.51
1,01102011 16:00,21154,7140,78.48
1,01102011 17:00,22729,7399,91.91
1,01102011 18:00,23007,7345,88.14
1,01102011 19:00,22580,7174,85.41
1,01102011 20:00,21908,6964,85.55
1,01102011 21:00,20785,6670,63
1,01102011 22:00,19310,6285,54.33
1,01102011 23:00,17739,5798,52.84
1,01112011 0:00,16670,5402,50.95
1,01112011 1:00,15883,5090,44.6
1,01112011 2:00,15453,4901,42.76
1,01112011 3:00,15292,4815,42.68
1,01112011 4:00,15497,4835,42.47
1,01112011 5:00,16405,5066,47.66
1,01112011 6:00,18209,5593,62.5
1,01112011 7:00,19707,6164,69.58
1,01112011 8:00,20168,6524,63
1,01112011 9:00,20533,6781,75.29
1,01112011 10:00,20742,6911,74.16
1,01112011 11:00,20746,6966,70.08
1,01112011 12:00,20651,6977,68.88
1,01112011 13:00,20549,6964,65.32
1,01112011 14:00,20399,6946,63.32
1,01112011 15:00,20434,6970,65.52
1,01112011 16:00,20987,7076,76.22
1,01112011 17:00,22440,7302,88.31
1,01112011 18:00,22611,7221,81.73
1,01112011 19:00,22137,7025,76.76
1,01112011 20:00,21465,6803,73.17
1,01112011 21:00,20371,6510,69.19
1,01112011 22:00,18938,6139,56.59
1,01112011 23:00,17420,5673,51.96
1,01122011 0:00,16287,5259,53.56
1,01122011 1:00,15555,4978,48.75
1,01122011 2:00,15143,4808,43.36
1,01122011 3:00,14989,4732,42.72
1,01122011 4:00,15184,4755,44.65
1,01122011 5:00,16063,4986,48.94
1,01122011 6:00,17814,5519,70.48
1,01122011 7:00,19315,6087,73.82
1,01122011 8:00,19865,6456,85.8
1,01122011 9:00,20302,6714,90.35
1,01122011 10:00,20577,6842,95.27
1,01122011 11:00,20681,6913,92.16
1,01122011 12:00,20654,6939,99.99
1,01122011 13:00,20620,6944,88.82
1,01122011 14:00,20525,6938,88.48
1,01122011 15:00,20573,6958,87.19
1,01122011 16:00,21076,7063,100.7
1,01122011 17:00,22512,7308,110.65
1,01122011 18:00,22690,7234,104.22
1,01122011 19:00,22209,7042,98.24
1,01122011 20:00,21558,6830,90.96
1,01122011 21:00,20529,6562,76.58
1,01122011 22:00,19159,6207,57.05
1,01122011 23:00,17696,5757,61.75
1,01132011 00:00,16489,5338,58.17
1,01132011 01:00,15775,5063,51.96
1,01132011 02:00,15376,4900,49.45
1,01132011 03:00,15244,4826,47.67
1,01132011 04:00,15439,4848,47.9
1,01132011 05:00,16346,5085,56.72
1,01132011 06:00,18121,5608,77.38
1,01132011 07:00,19625,6179,96.15
1,01132011 08:00,20159,6547,89.87
1,01132011 09:00,20546,6806,97.05
1,01132011 10:00,20771,6931,107.54
1,01132011 11:00,20829,6995,108.01
1,01132011 12:00,20738,7009,104.81
1,01132011 13:00,20681,7008,97.71
1,01132011 14:00,20556,6993,88.75
1,01132011 15:00,20580,7010,95
1,01132011 16:00,21070,7112,115.38
1,01132011 17:00,22510,7345,129.26
1,01132011 18:00,22796,7292,123.83
1,01132011 19:00,22347,7105,117.52
1,01132011 20:00,21708,6892,113
1,01132011 21:00,20675,6623,94.32
1,01132011 22:00,19323,6281,75.89
1,01132011 23:00,17850,5839,70.71
1,01142011 00:00,16725,5416,76.04
1,01142011 01:00,15990,5140,64.73
1,01142011 02:00,15596,4973,58.74
1,01142011 03:00,15456,4898,56.56
1,01142011 04:00,15644,4913,56.48
1,01142011 05:00,16537,5148,67
1,01142011 06:00,18351,5665,96.56
1,01142011 07:00,19906,6240,108.85
1,01142011 08:00,20406,6612,110.96
1,01142011 09:00,20750,6878,126.91
1,01142011 10:00,20922,7012,135.15
1,01142011 11:00,20898,7068,133.06
1,01142011 12:00,20722,7061,132.49
1,01142011 13:00,20585,7037,125
1,01142011 14:00,20366,6995,110.11
1,01142011 15:00,20251,6972,108.28
1,01142011 16:00,20609,7031,133.24
1,01142011 17:00,22009,7253,144.59
1,01142011 18:00,22250,7191,137.37
1,01142011 19:00,21729,6988,130
1,01142011 20:00,21123,6762,121.54
1,01142011 21:00,20288,6516,112.54
1,01142011 22:00,19140,6233,98.56
1,01142011 23:00,17742,5846,80.21
1,01152011 00:00,16741,5487,62.63
1,01152011 01:00,16095,5253,57.2
1,01152011 02:00,15715,5093,57.72
1,01152011 03:00,15490,5007,54.27
1,01152011 04:00,15370,4943,54.32
1,01152011 05:00,15407,4909,54.44
1,01152011 06:00,16043,5016,59.78
1,01152011 07:00,17080,5277,62
1,01152011 08:00,17871,5565,67.46
1,01152011 09:00,18572,5863,77.81
1,01152011 10:00,18978,6079,87.84
1,01152011 11:00,19094,6188,93.72
1,01152011 12:00,18941,6199,84.61
1,01152011 13:00,18735,6171,64.58
1,01152011 14:00,18533,6124,62
1,01152011 15:00,18454,6091,62
1,01152011 16:00,18940,6157,87
1,01152011 17:00,20422,6468,114
1,01152011 18:00,20777,6551,118
1,01152011 19:00,20363,6468,116
1,01152011 20:00,19846,6329,93.35
1,01152011 21:00,19197,6190,87.44
1,01152011 22:00,18317,6013,62
1,01152011 23:00,17221,5748,62
1,01162011 00:00,16119,5331,56.53
1,01162011 01:00,15587,5115,47.56
1,01162011 02:00,15244,4959,47.77
1,01162011 03:00,15050,4875,43.97
1,01162011 04:00,14910,4811,44.34
1,01162011 05:00,14746,4723,42.71
1,01162011 06:00,14981,4710,45.68
1,01162011 07:00,15681,4851,44.53
1,01162011 08:00,16408,5065,47.23
1,01162011 09:00,17129,5328,54.39
1,01162011 10:00,17632,5539,55.06
1,01162011 11:00,17935,5678,54.58
1,01162011 12:00,17951,5724,54.44
1,01162011 13:00,17874,5731,50.51
1,01162011 14:00,17821,5733,50
1,01162011 15:00,17880,5752,50.76
1,01162011 16:00,18420,5861,59.54
1,01162011 17:00,19929,6201,90.46
1,01162011 18:00,20429,6321,84.54
1,01162011 19:00,20275,6319,73.69
1,01162011 20:00,19947,6268,71
1,01162011 21:00,19369,6176,62
1,01162011 22:00,18510,5999,51.67
1,01162011 23:00,17528,5739,54.93
1,01172011 00:00,16618,5369,58.6
1,01172011 01:00,16093,5138,49.88
1,01172011 02:00,15781,4973,53.47
1,01172011 03:00,15659,4893,51.88
1,01172011 04:00,15806,4879,52
1,01172011 05:00,16454,5003,53.86
1,01172011 06:00,17507,5288,71.55
1,01172011 07:00,18511,5606,73.72
1,01172011 08:00,19366,5943,67.76
1,01172011 09:00,20173,6255,75.64
1,01172011 10:00,20631,6470,81.31
1,01172011 11:00,20818,6589,83.54
1,01172011 12:00,20719,6617,74.68
1,01172011 13:00,20534,6602,68.85
1,01172011 14:00,20342,6579,62.3
1,01172011 15:00,20264,6603,60.67
1,01172011 16:00,20731,6719,76.65
1,01172011 17:00,22259,7007,93.65
1,01172011 18:00,22598,7005,92.87
1,01172011 19:00,22163,6873,80.63
1,01172011 20:00,21495,6682,75.51
1,01172011 21:00,20505,6458,62
1,01172011 22:00,19152,6151,54.64
1,01172011 23:00,17725,5734,58.16
1,01182011 00:00,16484,5260,56.69
1,01182011 01:00,15622,4917,49.14
1,01182011 02:00,15158,4713,46.93
1,01182011 03:00,14969,4622,46.23
1,01182011 04:00,15184,4648,41.43
1,01182011 05:00,16093,4904,57.02
1,01182011 06:00,17764,5425,65.17
1,01182011 07:00,19185,5985,80.47
1,01182011 08:00,19678,6350,78.74
1,01182011 09:00,20061,6600,85.68
1,01182011 10:00,20329,6750,89.72
1,01182011 11:00,20402,6809,86.64
1,01182011 12:00,20325,6812,80.26
1,01182011 13:00,20221,6796,79.99
1,01182011 14:00,20084,6769,77.97
1,01182011 15:00,20086,6792,78.16
1,01182011 16:00,20496,6888,83.13
1,01182011 17:00,21764,7129,94.4
1,01182011 18:00,21895,7049,90.47
1,01182011 19:00,21344,6852,84.93
1,01182011 20:00,20629,6613,73.99
1,01182011 21:00,19580,6326,62
1,01182011 22:00,18170,5939,50.85
1,01182011 23:00,16730,5471,49.17
1,01192011 00:00,15721,5073,47.35
1,01192011 01:00,15027,4812,43.82
1,01192011 02:00,14652,4651,41.09
1,01192011 03:00,14481,4573,40.82
1,01192011 04:00,14629,4587,40.85
1,01192011 05:00,15487,4823,43.25
1,01192011 06:00,17137,5330,63.99
1,01192011 07:00,18560,5879,66.05
1,01192011 08:00,19075,6233,65.31
1,01192011 09:00,19449,6470,68.07
1,01192011 10:00,19742,6613,73.58
1,01192011 11:00,19854,6673,71.57
1,01192011 12:00,19814,6682,67.7
1,01192011 13:00,19756,6672,65.28
1,01192011 14:00,19652,6656,62.91
1,01192011 15:00,19657,6675,65.93
1,01192011 16:00,20054,6773,70.81
1,01192011 17:00,21371,7014,91.92
1,01192011 18:00,21632,6954,87
1,01192011 19:00,21160,6772,80.41
1,01192011 20:00,20563,6560,68.59
1,01192011 21:00,19659,6309,56.73
1,01192011 22:00,18354,5961,51.31
1,01192011 23:00,17018,5545,51.62
1,01202011 00:00,16064,5179,57.51
1,01202011 01:00,15367,4906,50.25
1,01202011 02:00,15004,4741,46.94
1,01202011 03:00,14872,4665,46.94
1,01202011 04:00,15058,4688,47.8
1,01202011 05:00,15983,4937,52.22
1,01202011 06:00,17704,5444,71.76
1,01202011 07:00,19167,5994,85
1,01202011 08:00,19670,6358,80.17
1,01202011 09:00,20046,6608,81.89
1,01202011 10:00,20301,6766,80.57
1,01202011 11:00,20362,6834,76.93
1,01202011 12:00,20303,6851,74.71
1,01202011 13:00,20233,6846,71.29
1,01202011 14:00,20122,6837,69.54
1,01202011 15:00,20138,6864,72.1
1,01202011 16:00,20537,6963,78.42
1,01202011 17:00,21906,7187,112.17
1,01202011 18:00,22253,7131,105.9
1,01202011 19:00,21778,6934,90.45
1,01202011 20:00,21127,6708,89.93
1,01202011 21:00,20147,6450,73.53
1,01202011 22:00,18776,6104,62.58
1,01202011 23:00,17406,5695,60
1,01212011 00:00,16273,5234,64.26
1,01212011 01:00,15553,4977,56.94
1,01212011 02:00,15170,4814,49.2
1,01212011 03:00,14999,4731,49.34
1,01212011 04:00,15137,4742,53.1
1,01212011 05:00,15986,4971,58.38
1,01212011 06:00,17672,5463,83.27
1,01212011 07:00,19182,6016,104.94
1,01212011 08:00,19786,6388,101.39
1,01212011 09:00,20208,6645,106.09
1,01212011 10:00,20480,6808,105.64
1,01212011 11:00,20521,6863,104.15
1,01212011 12:00,20440,6865,95.68
1,01212011 13:00,20310,6835,82.81
1,01212011 14:00,20117,6801,78.53
1,01212011 15:00,20032,6794,79.72
1,01212011 16:00,20291,6858,97.93
1,01212011 17:00,21565,7071,128.69
1,01212011 18:00,21861,7021,124.88
1,01212011 19:00,21329,6825,106.93
1,01212011 20:00,20775,6612,99
1,01212011 21:00,20026,6383,84
1,01212011 22:00,18903,6110,77.94
1,01212011 23:00,17644,5757,72.32
1,01222011 00:00,16552,5366,98.82
1,01222011 01:00,15975,5166,83.1
1,01222011 02:00,15649,5027,73.77
1,01222011 03:00,15467,4951,72.64
1,01222011 04:00,15346,4893,73.98
1,01222011 05:00,15409,4857,84.35
1,01222011 06:00,16081,4969,94.7
1,01222011 07:00,17180,5266,108.24
1,01222011 08:00,18064,5578,124.86
1,01222011 09:00,18792,5879,138.52
1,01222011 10:00,19214,6107,153.28
1,01222011 11:00,19294,6195,139.76
1,01222011 12:00,19143,6194,133.64
1,01222011 13:00,18917,6157,121.15
1,01222011 14:00,18688,6105,116
1,01222011 15:00,18621,6075,118
1,01222011 16:00,19029,6143,132.5
1,01222011 17:00,20500,6445,179.53
1,01222011 18:00,21114,6576,187
1,01222011 19:00,20773,6506,154.85
1,01222011 20:00,20366,6391,145.43
1,01222011 21:00,19780,6256,134
1,01222011 22:00,18902,6079,121.52
1,01222011 23:00,17869,5827,126.47
1,01232011 00:00,16870,5495,127.26
1,01232011 01:00,16348,5294,116.21
1,01232011 02:00,16022,5143,109.31
1,01232011 03:00,15839,5060,106.88
1,01232011 04:00,15689,4993,110.73
1,01232011 05:00,15540,4892,118.11
1,01232011 06:00,15928,4910,110.43
1,01232011 07:00,16786,5122,109.02
1,01232011 08:00,17504,5366,129.12
1,01232011 09:00,18145,5631,143.19
1,01232011 10:00,18578,5850,147.14
1,01232011 11:00,18766,5956,153.89
1,01232011 12:00,18719,5984,150.32
1,01232011 13:00,18587,5982,147.11
1,01232011 14:00,18461,5969,140.68
1,01232011 15:00,18503,5972,145.45
1,01232011 16:00,18984,6064,164.21
1,01232011 17:00,20488,6386,205.34
1,01232011 18:00,21228,6545,199.49
1,01232011 19:00,21132,6546,176.85
1,01232011 20:00,20852,6500,189.14
1,01232011 21:00,20256,6385,171.48
1,01232011 22:00,19325,6184,151.57
1,01232011 23:00,18310,5907,150.62
1,01242011 00:00,17409,5557,137.88
1,01242011 01:00,16989,5320,134.21
1,01242011 02:00,16767,5172,130.24
1,01242011 03:00,16713,5119,129.24
1,01242011 04:00,16979,5163,130.17
1,01242011 05:00,17949,5386,140.25
1,01242011 06:00,19691,5870,170.87
1,01242011 07:00,21166,6420,186.34
1,01242011 08:00,21768,6814,188.25
1,01242011 09:00,22148,7090,196.5
1,01242011 10:00,22370,7274,190.13
1,01242011 11:00,22363,7331,186.52
1,01242011 12:00,22227,7338,183
1,01242011 13:00,22098,7334,183
1,01242011 14:00,21901,7316,169.99
1,01242011 15:00,21864,7326,181.87
1,01242011 16:00,22231,7409,191.99
1,01242011 17:00,23554,7588,257
1,01242011 18:00,24151,7587,245.82
1,01242011 19:00,23718,7415,216.61
1,01242011 20:00,23006,7195,195.32
1,01242011 21:00,21878,6894,172.78
1,01242011 22:00,20388,6507,156.08
1,01242011 23:00,18878,6033,153
1,01252011 00:00,17591,5579,112.99
1,01252011 01:00,16627,5190,100.4
1,01252011 02:00,16101,4955,96.02
1,01252011 03:00,15896,4854,98.53
1,01252011 04:00,16114,4882,99.11
1,01252011 05:00,17005,5124,110
1,01252011 06:00,18686,5644,146.33
1,01252011 07:00,20104,6219,168.64
1,01252011 08:00,20635,6602,167.25
1,01252011 09:00,20962,6861,169.42
1,01252011 10:00,21175,7020,159.99
1,01252011 11:00,21143,7059,146
1,01252011 12:00,20999,7048,139.72
1,01252011 13:00,20874,7034,125.71
1,01252011 14:00,20702,7014,124.64
1,01252011 15:00,20651,7014,134.85
1,01252011 16:00,20957,7082,148.25
1,01252011 17:00,22142,7286,181.03
1,01252011 18:00,22598,7273,180.52
1,01252011 19:00,22198,7101,168.02
1,01252011 20:00,21548,6876,151.34
1,01252011 21:00,20505,6568,139
1,01252011 22:00,19100,6166,98.63
1,01252011 23:00,17634,5675,100.63
1,01262011 00:00,16526,5287,49.39
1,01262011 01:00,15775,4991,45.93
1,01262011 02:00,15368,4814,44.38
1,01262011 03:00,15205,4736,49.19
1,01262011 04:00,15405,4759,50.64
1,01262011 05:00,16296,4992,48.47
1,01262011 06:00,17994,5501,74.75
1,01262011 07:00,19417,6062,88.63
1,01262011 08:00,19957,6445,79.96
1,01262011 09:00,20321,6709,79.03
1,01262011 10:00,20581,6882,79.62
1,01262011 11:00,20602,6942,77.61
1,01262011 12:00,20532,6963,75.29
1,01262011 13:00,20455,6965,72.36
1,01262011 14:00,20340,6966,68.58
1,01262011 15:00,20291,6969,71.54
1,01262011 16:00,20611,7040,77.25
1,01262011 17:00,21742,7214,107.83
1,01262011 18:00,22194,7187,95.2
1,01262011 19:00,21764,7004,84.04
1,01262011 20:00,21091,6781,76.68
1,01262011 21:00,20063,6502,72.55
1,01262011 22:00,18666,6131,66.01
1,01262011 23:00,17197,5672,59.44
1,01272011 00:00,16150,5246,51.09
1,01272011 01:00,15396,4932,45.35
1,01272011 02:00,14987,4748,44.52
1,01272011 03:00,14818,4663,44.84
1,01272011 04:00,14987,4680,44.9
1,01272011 05:00,15848,4906,50.76
1,01272011 06:00,17528,5406,58.2
1,01272011 07:00,18974,5961,74.28
1,01272011 08:00,19551,6347,70.34
1,01272011 09:00,19961,6614,74.62
1,01272011 10:00,20252,6781,77.4
1,01272011 11:00,20289,6843,77.64
1,01272011 12:00,20234,6861,72.96
1,01272011 13:00,20170,6864,70.52
1,01272011 14:00,20067,6861,69.61
1,01272011 15:00,20025,6865,69.98
1,01272011 16:00,20327,6939,78.31
1,01272011 17:00,21458,7119,94.73
1,01272011 18:00,21982,7108,88.93
1,01272011 19:00,21595,6930,85.34
1,01272011 20:00,21002,6719,82.9
1,01272011 21:00,20050,6459,81.59
1,01272011 22:00,18757,6120,59.45
1,01272011 23:00,17339,5686,55.17
1,01282011 00:00,16223,5262,59.72
1,01282011 01:00,15405,4957,52.11
1,01282011 02:00,14956,4769,52
1,01282011 03:00,14768,4684,50.92
1,01282011 04:00,14926,4691,47.33
1,01282011 05:00,15791,4918,51.63
1,01282011 06:00,17571,5432,87.1
1,01282011 07:00,19126,6010,100.52
1,01282011 08:00,19727,6412,103.6
1,01282011 09:00,20123,6694,114.54
1,01282011 10:00,20379,6864,109.75
1,01282011 11:00,20358,6912,115.84
1,01282011 12:00,20201,6907,110.43
1,01282011 13:00,20050,6875,107.53
1,01282011 14:00,19829,6836,106.41
1,01282011 15:00,19662,6799,106.63
1,01282011 16:00,19881,6847,108.87
1,01282011 17:00,20969,7023,125.8
1,01282011 18:00,21469,7016,113.23
1,01282011 19:00,20976,6814,106.72
1,01282011 20:00,20383,6585,99.26
1,01282011 21:00,19583,6340,89.55
1,01282011 22:00,18447,6056,72.36
1,01282011 23:00,17037,5659,64.67
1,01292011 00:00,15965,5239,66.05
1,01292011 01:00,15304,4999,56.35
1,01292011 02:00,14907,4836,56.32
1,01292011 03:00,14672,4749,59.5
1,01292011 04:00,14515,4684,61.01
1,01292011 05:00,14515,4643,59.35
1,01292011 06:00,15149,4754,67.58
1,01292011 07:00,16244,5034,71.56
1,01292011 08:00,17112,5344,77.93
1,01292011 09:00,17813,5647,90.77
1,01292011 10:00,18247,5869,103.35
1,01292011 11:00,18322,5957,95.86
1,01292011 12:00,18187,5971,87.8
1,01292011 13:00,17993,5936,82.47
1,01292011 14:00,17804,5893,79.07
1,01292011 15:00,17716,5854,75.5
1,01292011 16:00,18086,5919,93.46
1,01292011 17:00,19361,6204,140.22
1,01292011 18:00,20087,6365,131.77
1,01292011 19:00,19793,6298,115.32
1,01292011 20:00,19408,6185,109.61
1,01292011 21:00,18874,6060,96.33
1,01292011 22:00,18059,5892,75.23
1,01292011 23:00,17016,5637,71.71
1,01302011 00:00,16107,5345,71.7
1,01302011 01:00,15479,5097,62.86
1,01302011 02:00,15085,4927,63.71
1,01302011 03:00,14839,4828,64.42
1,01302011 04:00,14630,4748,65.34
1,01302011 05:00,14428,4648,66.96
1,01302011 06:00,14746,4644,61.6
1,01302011 07:00,15577,4812,62.44
1,01302011 08:00,16303,5063,66.48
1,01302011 09:00,16969,5351,78.89
1,01302011 10:00,17448,5587,81.31
